Name	Critic_Score	Critic_Count	User_Score	User_Count
Gran Turismo 6	8.1		7.7	
Halo: The Master Chief Collection	8.5		7.2	
Super Mario Maker	8.8		8.7	
God of War: Chains of Olympus	9.1		8.6	
Enter the Matrix	6.2		8.1	
Crisis Core: Final Fantasy VII	8.3		8.0	
Dance Central	8.2		7.6	
L.A. Noire	8.9		7.7	
Ace Combat 04: Shattered Skies	8.9		9.1	
Animal Crossing	8.7		8.9	
FIFA Soccer 08	8.3		6.5	
Spider-Man	8.7		9.0	
Mario Party 9	7.3		6.8	
Sonic Rush	8.2		8.5	
Rhythm Heaven	8.3		9.0	
Fallout: New Vegas	8.2		7.8	
Personal Trainer: Cooking	8.1		7.8	
The Elder Scrolls IV: Oblivion	9.3		8.0	
The Legend of Zelda: A Link Between Worlds	9.1		8.9	
Resident Evil 6	7.4		5.4	
Mass Effect 2	9.6		8.9	
Dragon Ball Z: Budokai	6.7		7.9	
Madden NFL 2002	9.4		7.9	
The Sims: Vacation	7.5		7.8	
Animal Crossing: Happy Home Designer	6.6		6.9	
The Sims 4	7.0		3.9	
Borderlands 2	8.9		8.2	
LEGO Batman: The Videogame	7.2		8.0	
Kung Fu Panda	7.5		7.4	
Mass Effect 3	9.3		5.8	
Heavy Rain	8.7		7.7	
Saints Row 2	8.1		8.1	
Tom Clancy's Splinter Cell	9.3		8.5	
FIFA 14	8.7		6.3	
Killzone 2	9.1		8.1	
Far Cry 3	9.1		8.6	
Epic Mickey	7.3		7.0	
NBA 2K13	8.8		7.2	
Dragon Ball Z: Budokai Tenkaichi 3	7.3		9.2	
The Sims: Livin Large	8.2		6.6	
World Soccer Winning Eleven 6 International	9.3		9.1	
Devil May Cry	9.4		8.5	
Star Wars: The Old Republic	8.5		5.9	
Middle-Earth: Shadow of Mordor	8.4		8.1	
Sonic Heroes	6.4		7.8	
Hitman 2: Silent Assassin	8.5		7.8	
Titanfall	8.6		6.4	
Battlefield: Bad Company 2	8.8		8.5	
SOCOM II: U.S. Navy SEALs	8.7		9.0	
Pac-Man Collection	7.9		7.8	
Street Fighter IV	9.3		7.3	
inFAMOUS	8.5		8.3	
Kirby Super Star Ultra	7.6		8.8	
Call of Duty: Ghosts	7.8		4.3	
Mass Effect	9.1		8.7	
Sonic Mega Collection Plus	7.3		8.6	
World Soccer Winning Eleven 7 International	9.3		9.0	
Sega Superstars Tennis	6.7		6.8	
Hot Shots Golf 3	8.5		8.9	
Cooking Mama: Cook Off	6.1		5.3	
Call of Duty: Finest Hour	7.6		7.7	
WarioWare: Smooth Moves	8.3		7.4	
Madden NFL 13	8.1		5.8	
