Name	NA_Sales	EU_Sales	JP_Sales	Other_Sales	Global_Sales
Tony Hawk's Pro Skater	2.736	1.104	0.016	0.16	4.016
Guitar Hero III: Legends of Rock	2.7920000000000003	0.008	0.008	1.184	3.984
Link's Crossbow Training	2.44	0.936	0.2319999999999999	0.368	3.984
Fallout 3	2.72	0.792	0.072	0.36	3.944
Uncharted: Drake's Fortune	1.848	1.376	0.096	0.6160000000000001	3.936
Madden NFL 06	3.184	0.208	0.008	0.528	3.928
StarCraft II: Wings of Liberty	2.056	1.344	0.0	0.4639999999999999	3.872
Assassin's Creed	1.528	1.6	0.072	0.656	3.856
God of War III	2.192	1.064	0.096	0.488	3.84
Crash Team Racing	2.056	1.2560000000000002	0.352	0.168	3.832
LEGO Star Wars: The Complete Saga	2.264	1.184	0.0	0.36	3.808
Driver 2	1.888	1.6800000000000002	0.016	0.2	3.7840000000000007
Batman: Arkham City	2.3920000000000003	1.016	0.032	0.336	3.7840000000000007
Tony Hawk's Pro Skater 2	2.44	1.128	0.016	0.16	3.744
The Lord of the Rings: The Two Towers	1.552	1.56	0.064	0.5599999999999999	3.736
Tomb Raider	1.832	1.576	0.104	0.192	3.704
Animal Crossing: City Folk	1.4560000000000002	0.8960000000000001	1.056	0.288	3.696
Uncharted: The Nathan Drake Collection	1.656	1.368	0.064	0.6080000000000001	3.696
The Legend of Zelda: The Wind Waker	2.08	0.792	0.7120000000000001	0.104	3.68
Guitar Hero III: Legends of Rock	2.4320000000000004	0.8880000000000001	0.0	0.344	3.68
Luigi's Mansion: Dark Moon	1.4400000000000002	1.112	0.8880000000000001	0.2319999999999999	3.672
Forza Motorsport 4	1.664	1.576	0.048	0.368	3.6560000000000006
Madden NFL 2005	3.344	0.208	0.008	0.064	3.624000000000001
Guitar Hero III: Legends of Rock	2.552	0.7280000000000001	0.008	0.336	3.624000000000001
Madden NFL 07	2.904	0.192	0.008	0.488	3.5920000000000005
Halo 5: Guardians	2.224	1.016	0.024	0.328	3.5840000000000005
Spider-Man: The Movie	2.168	1.2080000000000002	0.024	0.184	3.5840000000000005
Call of Duty: Infinite Warfare	1.2880000000000005	1.6	0.12	0.568	3.568
God of War	2.168	1.032	0.016	0.344	3.5600000000000005
Splatoon	1.2320000000000002	0.944	1.168	0.208	3.544
Nintendo Land	2.016	0.8880000000000001	0.368	0.264	3.536
Tony Hawk's Pro Skater 3	2.128	1.032	0.008	0.368	3.5280000000000005
Winning Eleven: Pro Evolution Soccer 2007	0.08	1.912	0.8400000000000001	0.6880000000000001	3.512
