Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
10,2004.0,3,60,2.056,1.2640000000000002,1.648,0.168,5.128,7.6,9,0
0,2002.0,3,76,2.9120000000000004,0.96,1.192,0.056,5.120000000000001,8.5,8.8,0
1,2009.0,2,54,3.472,1.072,0.048,0.488,5.072,8.3,7.1,2
1,2010.0,0,89,2.9600000000000004,1.56,0.072,0.4639999999999999,5.056000000000001,9.5,9,2
9,2002.0,6,60,3.208,1.008,0.6960000000000001,0.136,5.048,9.2,8.6,0
6,2004.0,3,3,0.064,4.968,0.0,0.0,5.032,9.3,7.3,1
12,1999.0,0,64,2.488,2.24,0.016,0.264,5.016,8.7,8.1,1
1,2011.0,2,54,3.24,1.2720000000000002,0.056,0.4,4.968,9.1,7.8,2
1,2010.0,1,54,3.136,1.384,0.024,0.408,4.952000000000001,7.3,7.4,3
1,2006.0,2,54,2.8320000000000003,1.504,0.056,0.48,4.872,9.4,8.3,2
11,2014.0,1,26,0.6400000000000001,3.4640000000000004,0.04,0.7200000000000001,4.864000000000001,8.2,5.7,0
0,2001.0,0,47,1.96,1.608,0.6960000000000001,0.576,4.84,9.6,8.7,2
12,1998.0,0,47,2.5440000000000005,1.4640000000000002,0.6240000000000001,0.192,4.824000000000001,9.4,9.4,2
2,2008.0,0,47,2.104,1.368,0.664,0.656,4.792000000000001,9.4,8.7,2
0,2006.0,3,81,1.504,0.0,1.864,1.392,4.760000000000001,9.2,7.6,1
2,2013.0,0,77,1.928,1.7440000000000002,0.224,0.792,4.696000000000001,9.5,9.1,2
2,2008.0,6,76,2.24,1.584,0.136,0.6960000000000001,4.656000000000001,9.5,6.8,0
12,1998.0,0,98,1.504,1.176,1.616,0.36,4.656000000000001,8.9,9.2,2
4,2009.0,3,60,0.504,0.536,3.48,0.12,4.6240000000000006,8.7,8.8,3
12,1996.0,7,76,1.808,1.512,1.088,0.184,4.5920000000000005,8.9,8.9,1
11,2014.0,2,3,1.992,1.656,0.128,0.7360000000000001,4.512,7.6,6.1,1
7,2007.0,0,48,2.856,1.2400000000000002,0.0,0.408,4.512,8.0,8.9,3
4,2006.0,8,1,2.456,1.528,0.056,0.4559999999999999,4.504,6.7,7.2,0
2,2009.0,0,94,2.032,1.544,0.168,0.6880000000000001,4.44,9.1,8.6,2
