Name	Platform	Year_of_Release	Genre	Publisher	Developer	Rating
Tekken Tag Tournament	PS2	2000.0	Fighting	Namco Bandai Games		T
Far Cry 4	PS4	2014.0	Shooter	Ubisoft		M
Left 4 Dead 2	X360	2009.0	Shooter	Electronic Arts		M
The Witcher 3: Wild Hunt	PS4	2015.0	Role-Playing	Namco Bandai Games		M
Assassin's Creed: Unity	PS4	2014.0	Action	Ubisoft		M
Batman: Arkham Knight	PS4	2015.0	Action	Warner Bros. Interactive Entertainment		M
The Legend of Zelda: Skyward Sword	Wii	2011.0	Action	Nintendo		E10+
Fallout 3	PS3	2008.0	Role-Playing	Bethesda Softworks		M
Professor Layton and the Diabolical Box	DS	2007.0	Puzzle	Nintendo		E10+
EA Sports Active	Wii	2009.0	Sports	Electronic Arts		E
Tony Hawk's Underground	PS2	2003.0	Sports	Activision		T
Monster Hunter 4 Ultimate	3DS	2014.0	Role-Playing	Nintendo		T
The Elder Scrolls V: Skyrim	PC	2011.0	Role-Playing	Bethesda Softworks		M
NBA 2K16	PS4	2015.0	Sports	Take-Two Interactive		E10+
Tekken 5	PS2	2005.0	Fighting	Namco Bandai Games		T
MotorStorm	PS3	2006.0	Racing	Sony Computer Entertainment		T
World Soccer Winning Eleven 8 International	PS2	2004.0	Sports	Konami Digital Entertainment		E
Sports Champions	PS3	2010.0	Sports	Sony Computer Entertainment		E10+
Call of Duty: Ghosts	PS4	2013.0	Shooter	Activision		M
Flash Focus: Vision Training in Minutes a Day	DS	2007.0	Misc	Nintendo		E
Tom Clancy's The Division	PS4	2016.0	Shooter	Ubisoft		M
Big Brain Academy: Wii Degree	Wii	2007.0	Misc	Nintendo		E
LEGO Indiana Jones: The Original Adventures	X360	2008.0	Action	Activision		E10+
The Sims: Unleashed	PC	2002.0	Simulation	Electronic Arts		T
Harry Potter and the Sorcerer's Stone	PS	2001.0	Action	Electronic Arts		E
Super Paper Mario	Wii	2007.0	Platform	Nintendo		E
Spyro: Year of the Dragon	PS	2000.0	Platform	Sony Computer Entertainment		E
Assassin's Creed IV: Black Flag	PS3	2013.0	Action	Ubisoft		M
FIFA Soccer 2005	PS2	2004.0	Sports	Electronic Arts		E
Tony Hawk's Pro Skater 4	PS2	2002.0	Sports	Activision		T
MySims	DS	2007.0	Simulation	Electronic Arts		E
Midnight Club 3: DUB Edition	PSP	2005.0	Racing	Take-Two Interactive		E10+
SOCOM: U.S. Navy SEALs	PS2	2002.0	Shooter	Sony Computer Entertainment		M
Jak and Daxter: The Precursor Legacy	PS2	2001.0	Platform	Sony Computer Entertainment		E
